lambda,ER_4,ER_6,BA_4,BA_6
0.0,1.096847532018892e-06,1.096847532018892e-06,1.096847532018892e-06,1.096847532018892e-06
0.01,5.365589920638971e-07,5.615082591545848e-07,8.693665173968174e-08,1.655944688505121e-07
0.02,4.2105486504607356e-07,8.030903924419335e-07,1.3467261724635365e-07,3.828285981750169e-07
0.03,5.430619721470795e-07,1.110015382153423e-06,3.099555940614909e-07,0.0029968462075481406
0.04,6.572718390673626e-07,2.0398670603053987e-06,0.0009165825704498449,0.049625174258680634
0.05,9.126396320165081e-07,5.784351152856462e-06,0.024810300840272786,0.1012502325552664
0.06,1.555720433809392e-06,0.033496798908824704,0.05476422554636,0.15226913331355302
0.07,4.199083522652125e-06,0.12000768232448666,0.08758302617846095,0.19988283865064918
0.08,0.014659413321728026,0.19122059467197444,0.12124926456456694,0.24306472574804167
0.09,0.06685598811115984,0.24994983274560592,0.15447938579627407,0.2817290417157482
0.1,0.11607820834257063,0.2989148215134652,0.18646673325489008,0.3161956453861285
0.11,0.1606039471950159,0.34023332060589223,0.21676422938758305,0.3469174701869397
0.12,0.2004775746335195,0.375496046165878,0.24517584341680493,0.3743591875520922
0.13,0.23614122186168887,0.4058988317678849,0.27166239760292976,0.39894866342633406
0.14,0.26810336855339734,0.43234941207737443,0.29627623178800827,0.42106229959464375
0.15,0.2968421449156536,0.4555461375692887,0.3191173302621785,0.4410241572483908
0.16,0.32278000647662985,0.4760333918905589,0.340307628935156,0.45911046013665635
0.17,0.3462806281753816,0.4942416345381487,0.3599757011463158,0.47555610512138424
0.18,0.3676538733373777,0.5105150778228353,0.37824807758699325,0.49056065621780803
0.19,0.3871628980024069,0.525132249307765,0.3952449393111575,0.5042942427467828
0.2,0.4050313356621477,0.5383208296149609,0.4110778594137279,0.5169021122391102
0.21,0.42144964608682883,0.5502687568416306,0.425848996384223,0.5285089554152066
0.22,0.436580605502873,0.5611325058570007,0.4396511794551544,0.539222154934926
0.23,0.4505638979511099,0.5710434167803746,0.45256837153920987,0.5491346042905496
0.24,0.46351992703698486,0.5801125424121237,0.46467620385947483,0.5583269765496212
0.25,0.47555293873050425,0.5884344397942746,0.4760427678659578,0.5668696605712246
0.26,0.48675359987050903,0.5960901169745842,0.4867293240065549,0.574824285089438
0.27,0.49720112655955556,0.6031493918683003,0.4967910017764352,0.582245041131144
0.28,0.5069650205444582,0.6096727579712418,0.5062774512320739,0.5891797408913524
0.29,0.5161065127328989,0.6157129005797048,0.5152334374883917,0.5956707280085013
0.3,0.5246797498947299,0.6213159181765642,0.5236993763435577,0.6017556212624184
