lambda,realization_1,realization_2,realization_3,realization_4,realization_5,realization_6,realization_7,realization_8,realization_9,realization_10,realization_11,realization_12,realization_13,realization_14,realization_15,realization_16,realization_17,realization_18,realization_19,realization_20,realization_21,realization_22,realization_23,realization_24,realization_25,realization_26,realization_27,realization_28,realization_29,realization_30,realization_31,realization_32,realization_33,realization_34,realization_35,realization_36,realization_37,realization_38,realization_39,realization_40,realization_41,realization_42,realization_43,realization_44,realization_45,realization_46,realization_47,realization_48,realization_49,realization_50
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.030500000000000006,9.090909090909092e-05,0.0,0.0,0.0,0.03409090909090909,0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.03408333333333335,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016200000000000003
0.03,0.009692307692307693,0.0091,0.0593,0.009428571428571429,0.0034285714285714297,0.04399999999999999,0.04727272727272727,0.06814285714285714,0.03258333333333333,0.0394,0.04581818181818182,0.06053333333333334,0.06416666666666668,0.05990909090909091,0.0692,0.001230769230769231,0.05791666666666665,0.06507692307692309,0.08891666666666666,0.0615,0.07207142857142856,0.04889999999999999,0.0958,0.0563846153846154,0.0,0.03200000000000001,0.0540909090909091,0.07281818181818181,0.06239999999999999,0.05846666666666668,0.09029999999999999,0.06258333333333334,0.027818181818181822,0.0511764705882353,0.06913333333333334,0.04239999999999999,0.04918181818181819,0.05284615384615385,0.05999999999999999,0.06308333333333334,0.07339999999999999,0.05846666666666668,0.0356,0.06788888888888889,0.0758181818181818,0.07089999999999999,0.05825,0.0,0.026117647058823534,0.050538461538461546
0.04,0.11091666666666668,0.1042727272727273,0.08763636363636362,0.11950000000000001,0.11779999999999999,0.12550000000000003,0.12705555555555556,0.10640000000000001,0.10470000000000002,0.08439999999999999,0.10063636363636363,0.11629999999999999,0.08583333333333332,0.09554545454545454,0.137,0.09991666666666667,0.10361538461538461,0.09576923076923077,0.12545454545454546,0.10015384615384616,0.12309999999999999,0.1006,0.10870000000000002,0.0989,0.09445454545454544,0.1124166666666667,0.09046153846153845,0.1115,0.09066666666666667,0.1166666666666667,0.11189999999999997,0.11776923076923078,0.10763636363636366,0.09908333333333331,0.1522,0.11509090909090909,0.1058,0.13520000000000001,0.14474999999999996,0.1326,0.1386,0.09918181818181818,0.09227272727272727,0.09769230769230772,0.13447058823529412,0.1105,0.126,0.10289999999999999,0.11679999999999999,0.11090000000000003
0.05,0.20428571428571432,0.20350000000000001,0.17445454545454545,0.172,0.203,0.148,0.1915,0.17729999999999999,0.17908333333333334,0.185,0.1637,0.1945714285714286,0.16727272727272727,0.22085714285714286,0.182,0.2021818181818182,0.1908181818181818,0.163375,0.1735,0.1724615384615385,0.184,0.1913,0.1673,0.21054545454545454,0.18057142857142858,0.1820909090909091,0.1933846153846154,0.1619090909090909,0.2169090909090909,0.18409999999999999,0.1933846153846154,0.177,0.18507142857142858,0.19854545454545455,0.14225000000000002,0.1809,0.1573,0.178,0.1831818181818182,0.18718181818181814,0.16945454545454544,0.17933333333333334,0.19027272727272726,0.17645454545454545,0.17235714285714285,0.19708333333333336,0.1838181818181818,0.19019999999999998,0.196,0.1463
0.06,0.23820000000000002,0.247,0.2415,0.22410000000000002,0.24936363636363634,0.24311764705882352,0.22460000000000005,0.2573636363636363,0.22978571428571426,0.23781818181818182,0.23909090909090908,0.24253846153846154,0.24710000000000001,0.22992307692307695,0.2473,0.2310833333333334,0.24433333333333335,0.2620909090909091,0.2333,0.25261538461538463,0.24558333333333335,0.2678,0.24800000000000005,0.2373076923076923,0.24210000000000004,0.23761538461538464,0.22557142857142856,0.22970000000000002,0.21624999999999997,0.21700000000000005,0.24327272727272728,0.22966666666666669,0.24654166666666666,0.2483333333333333,0.2298333333333333,0.2313,0.22536363636363638,0.22924999999999998,0.24791666666666665,0.2340588235294117,0.2605454545454546,0.2239375,0.2569166666666667,0.25827272727272726,0.2185,0.2530833333333333,0.2507058823529412,0.26966666666666667,0.24533333333333332,0.2588181818181818
0.07,0.29209090909090907,0.2895454545454545,0.2822727272727273,0.2723529411764706,0.318,0.267,0.3143333333333333,0.2893333333333333,0.29391666666666666,0.30890909090909086,0.3085,0.3262727272727272,0.29181818181818175,0.3094545454545454,0.304,0.3069,0.3020833333333333,0.3092,0.3089090909090909,0.2986363636363636,0.2786363636363636,0.31281818181818183,0.3096,0.3177,0.31629999999999997,0.29476923076923073,0.2822857142857143,0.3341818181818182,0.269,0.271,0.29546666666666666,0.28300000000000003,0.2940833333333333,0.28574999999999995,0.29872727272727273,0.2985833333333333,0.3082,0.27624999999999994,0.3347,0.29492307692307695,0.3062307692307692,0.3075833333333333,0.2798666666666667,0.3101,0.2841,0.3030833333333333,0.2863846153846153,0.3000833333333333,0.2741,0.2924
0.08,0.36219999999999997,0.34930769230769226,0.3473076923076922,0.2987857142857143,0.34600000000000003,0.3396363636363636,0.3524285714285714,0.34709090909090906,0.35707142857142854,0.30233333333333334,0.37625,0.3285882352941177,0.3583,0.3612,0.331,0.34718181818181815,0.36618181818181816,0.3619230769230769,0.3585384615384616,0.33799999999999997,0.34092857142857136,0.33608333333333335,0.33807692307692305,0.37374999999999997,0.3525,0.35899999999999993,0.3405833333333333,0.329421052631579,0.35154545454545455,0.3668,0.35369230769230775,0.3446923076923077,0.3083571428571429,0.3455,0.32492307692307687,0.3448333333333333,0.3509090909090909,0.3421818181818182,0.3386,0.34513333333333335,0.3475,0.3328461538461538,0.35727272727272735,0.355,0.32780000000000004,0.3473571428571428,0.36463636363636365,0.3237368421052632,0.3429166666666667,0.3607857142857143
0.09,0.39269230769230773,0.4054375,0.4043333333333334,0.398,0.3897272727272727,0.368,0.38975000000000004,0.3983333333333334,0.37592307692307697,0.38033333333333336,0.3694545454545455,0.3918461538461538,0.39780000000000004,0.39988235294117647,0.3689090909090909,0.37976923076923075,0.4022857142857144,0.37484615384615394,0.38881818181818184,0.3705,0.39418181818181813,0.413076923076923,0.37766666666666665,0.3821578947368421,0.3638,0.40331578947368424,0.38799999999999996,0.39161538461538464,0.3792,0.3911666666666667,0.4029000000000001,0.3752,0.36633333333333334,0.4174166666666666,0.3983,0.41030769230769226,0.3825,0.3992,0.3748181818181818,0.3937,0.3676315789473684,0.3984,0.39008333333333334,0.39253333333333335,0.40363636363636357,0.39259999999999995,0.38510000000000005,0.3906363636363636,0.3978181818181818,0.40707692307692306
