lambda,ER_4_mean,ER_4_std_dev,ER_6_mean,ER_6_std_dev,BA_4_mean,BA_4_std_dev,BA_6_mean,BA_6_std_dev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.019016616404915747,0.02014867416227153
0.05,0.0,0.0,1.4333333333333336e-05,0.000350800829848252,0.0006343506216006216,0.00398965530376924,0.08658749440974403,0.01599951040170116
0.06,0.0,0.0,0.000875760101010101,0.0035745683858661743,0.02128061218797113,0.02096481799153619,0.1383084653042855,0.013461890313609325
0.07,0.0,0.0,0.04401526108169866,0.02733463113289962,0.06638114741250035,0.017211894890536733,0.18619545438113702,0.012367590464668838
0.08,4.196969696969697e-05,0.0005504375711585134,0.13979586559886764,0.020284533114471183,0.10083291009125096,0.01439016113553705,0.23076400671942726,0.01117449423130789
0.09,0.0018037305749805748,0.005147807219999772,0.21046082818586972,0.01740319193656619,0.1333206933932439,0.014548147620772127,0.26940493357079676,0.011520049588435114
0.1,0.02206017677665472,0.02013355399888647,0.26822601614711916,0.015178528590086561,0.1650977476970904,0.012176367919174568,0.3051723115449742,0.010500439102479194
0.11,0.081105990057817,0.022882817035492248,0.3159357396669914,0.013059179195991503,0.19613764654014473,0.012513865419116312,0.33785047504536325,0.010600901322956477
0.12,0.13526755997933412,0.01976970919015748,0.35628653779224473,0.012064387236012435,0.22491248395355048,0.011914742626236981,0.3670984247318657,0.009665528550547078
0.13,0.1798767194167454,0.017260138419722026,0.3908301150807309,0.011141299202911481,0.2523389556349009,0.011412620855703616,0.391767853998381,0.009374065134294273
0.14,0.21973911144144287,0.016368696573367,0.41947779220791725,0.010783187870263083,0.27760284342070707,0.011133896801675794,0.415252646917235,0.009083693120566614
0.15,0.254703733894043,0.015044195352401367,0.4462331818095905,0.00971573926337497,0.30212927902830455,0.010974619135948242,0.43642488058762335,0.008438517203724672
0.16,0.2873545029591761,0.013633737804431239,0.4680050433052338,0.009139397032758304,0.32421671065464175,0.010484981793768944,0.4552968656584569,0.008836956634533382
0.17,0.3145822637724035,0.012652433532642485,0.4881874620714683,0.008549165004082737,0.3459997927697576,0.010343047315947854,0.47196070908548365,0.008132181612839668
0.18,0.3395503956237305,0.012168994335938498,0.5051107048284661,0.008345619725153557,0.3649106507702489,0.009437550806816332,0.4884618337855528,0.007497103709439563
0.19,0.3625877658351617,0.011802668791552432,0.5209297944265129,0.0077651598313752375,0.3829207662221369,0.009615736474444636,0.5027341353812408,0.00772116109306814
0.2,0.384360307442227,0.01060275999130775,0.5353412615993499,0.007340091613548133,0.4004100779106872,0.009519310754653652,0.5147181840605645,0.007361330852350449
0.21,0.40261463061677916,0.010138990853163535,0.5478721632064186,0.006821043689132266,0.4151911614242875,0.008523129450658515,0.5275471767800766,0.006746278363794621
0.22,0.42008442829315756,0.00953924088819396,0.559916842709239,0.006526028652698543,0.43044903466871254,0.008574240231457787,0.5388388222160465,0.006670475538049643
0.23,0.43562222795713335,0.009602832300590575,0.5700281909423637,0.006444307662356867,0.44482080278437935,0.008359904922303216,0.5488756980080478,0.006378790357775201
0.24,0.4502207096313706,0.008807747107107305,0.5797309429385185,0.0062431517816174025,0.4583709724796904,0.008005613390277343,0.5579507812724183,0.0064173356038970605
0.25,0.4639375461696098,0.008768535111427332,0.58808230579721,0.0059729824989262735,0.47000192271060265,0.008074797886102537,0.5672525350709304,0.0059791433236088065
0.26,0.47646537237331754,0.008560675871795471,0.5962171191954663,0.005763024734172043,0.48159336938087716,0.007812629536459123,0.5754676832370089,0.005922225361135771
0.27,0.48797094150389814,0.008192606975444378,0.6038342685576162,0.005358282181380601,0.49266497039556023,0.008016343967842177,0.5832096684305474,0.005480304895301106
0.28,0.49936321738730255,0.00813366392434701,0.6101392607801055,0.005415502065428398,0.5023613563961552,0.0074018805815228485,0.5899240978468985,0.00560215793473453
0.29,0.5097419136439684,0.007621558977359709,0.6162909396780407,0.0053089766623900265,0.5122060771160808,0.00735788718932264,0.5969487486535365,0.005747914385774796
0.3,0.5183150051019099,0.007580599227690345,0.6221125947411076,0.005228714622391702,0.5210613657634874,0.00743807324653767,0.60318569810259,0.00563115923132673
